site	Africa	#686868
site	Americas	#696969
site	Asia	#707070
site	Australia	#787878
site	Europe	#808080
site	Santa Fe 1	#1B9E77 
site	Campana	#AE6D1C 
site	Santa Fe 2	#A16864 
site	Donoso	#9B58A5 
site	El Cope East	#D8367D 
site	El Valle N	#749829 
site	El Valle S	#BBA90B 
site	Caribbean 1	#C9930D 
site	Caribbean 2	#97722D
site	El Cope West	#666666
site	Barrett Basin	#A6CEE3 
site	Conness Pond	#1F78B4 
site	Darwin Bench	#B2DF8A 
site	Devils Crag Basin	#33A02C 
site	Dusy Basin	#FB9A99 
site	LeConte Divide	#E31A1C
site	Marjorie Basin	#FDBF6F 
site	McGee Basin	#FF7F00 
site	Mono Pass	#CAB2D6 
site	Unicorn Ponds	#6A3D9A
region	Sierra Nevada	#636363
region	Central Panama	#56B4E9
region	Global	#E69F00
region	Root	#7D2727